Tamanho,Arvore,Operacao,Tempo
10000,AVL,Inserção,0.0077161
10000,AVL,Busca,0.0023772
10000,AVL,Remoção,0.0068563
50000,AVL,Inserção,0.0446072
50000,AVL,Busca,0.0157462
50000,AVL,Remoção,0.0404081
100000,AVL,Inserção,0.110101
100000,AVL,Busca,0.0384277
100000,AVL,Remoção,0.0859992
250000,AVL,Inserção,0.277354
250000,AVL,Busca,0.107799
250000,AVL,Remoção,0.258696
500000,AVL,Inserção,0.61035
500000,AVL,Busca,0.261207
500000,AVL,Remoção,0.651981
1000000,AVL,Inserção,1.40565
1000000,AVL,Busca,0.644101
1000000,AVL,Remoção,1.4721
