Tamanho,Arvore,Operacao,Tempo
10000,AVL,Inserção,0.0083092
10000,AVL,Busca,0.0029274
10000,AVL,Remoção,0.0066133
50000,AVL,Inserção,0.0206208
50000,AVL,Busca,0.0127244
50000,AVL,Remoção,0.0164578
100000,AVL,Inserção,0.0416262
100000,AVL,Busca,0.0232136
100000,AVL,Remoção,0.0340533
25000,AVL,Inserção,0.0075993
25000,AVL,Busca,0.0049026
25000,AVL,Remoção,0.0076846
500000,AVL,Inserção,0.2741078
500000,AVL,Busca,0.1701347
500000,AVL,Remoção,0.2469311
1000000,AVL,Inserção,0.5408693
1000000,AVL,Busca,0.3474001
1000000,AVL,Remoção,0.5468932
