Tamanho,Arvore,Operacao,Tempo
10000,AVL,Inserção,0.15743637084960938
10000,AVL,Busca,0.019223928451538086
10000,AVL,Remoção,0.10335755348205566
50000,AVL,Inserção,0.7827353477478027
50000,AVL,Busca,0.09868693351745605
50000,AVL,Remoção,0.5377047061920166
100000,AVL,Inserção,1.6834025382995605
100000,AVL,Busca,0.2090606689453125
100000,AVL,Remoção,1.1271204948425293
250000,AVL,Inserção,4.425344705581665
250000,AVL,Busca,0.5464842319488525
250000,AVL,Remoção,3.1545655727386475
500000,AVL,Inserção,9.877292394638062
500000,AVL,Busca,1.1691162586212158
500000,AVL,Remoção,6.434656858444214
1000000,AVL,Inserção,21.06641459465027
1000000,AVL,Busca,2.6415483951568604
1000000,AVL,Remoção,13.45246410369873
