Tamanho,Arvore,Operacao,Tempo
10000,Binaria,Insercao,0.0067732
10000,Binaria,Busca,0.0042459
10000,Binaria,Remocao,0.0015071
50000,Binaria,Insercao,0.0255341
50000,Binaria,Busca,0.0165795
50000,Binaria,Remocao,0.0101564
100000,Binaria,Insercao,0.0707113
100000,Binaria,Busca,0.0391639
100000,Binaria,Remocao,0.0238071
250000,Binaria,Insercao,0.204209
250000,Binaria,Busca,0.0992555
250000,Binaria,Remocao,0.0574179
500000,Binaria,Insercao,0.588782
500000,Binaria,Busca,0.185804
500000,Binaria,Remocao,0.125882
1000000,Binaria,Insercao,1.9202
1000000,Binaria,Busca,0.362589
1000000,Binaria,Remocao,0.296364
