Tamanho,Arvore,Operacao,Tempo
10000,Binaria,Inserção,0.0045364
10000,Binaria,Busca,0.0031977
10000,Binaria,Remoção,0.0035388
50000,Binaria,Inserção,0.0154673
50000,Binaria,Busca,0.0118543
50000,Binaria,Remoção,0.0122847
100000,Binaria,Inserção,0.032879
100000,Binaria,Busca,0.0253417
100000,Binaria,Remoção,0.0253213
250000,Binaria,Inserção,0.0961653
250000,Binaria,Busca,0.0806138
250000,Binaria,Remoção,0.0775932
500000,Binaria,Inserção,0.223538
500000,Binaria,Busca,0.1720408
500000,Binaria,Remoção,0.1914838
1000000,Binaria,Inserção,0.4674053
1000000,Binaria,Busca,0.3610579
1000000,Binaria,Remoção,0.391405
