Tamanho,Arvore,Operacao,Tempo
10000,Binaria,Inserção,0.03343343734741211
10000,Binaria,Busca,0.0325016975402832
10000,Binaria,Remoção,0.02825164794921875
50000,Binaria,Inserção,0.18408775329589844
50000,Binaria,Busca,0.16422080993652344
50000,Binaria,Remoção,0.14899921417236328
100000,Binaria,Inserção,0.43712711334228516
100000,Binaria,Busca,0.37897253036499023
100000,Binaria,Remoção,0.3954741954803467
250000,Binaria,Inserção,1.1246817111968994
250000,Binaria,Busca,1.1006486415863037
250000,Binaria,Remoção,1.0432682037353516
500000,Binaria,Inserção,2.796367883682251
500000,Binaria,Busca,2.815258502960205
500000,Binaria,Remoção,2.667820930480957
1000000,Binaria,Inserção,6.346786737442017
1000000,Binaria,Busca,5.680192232131958
1000000,Binaria,Remoção,6.0498175621032715
