Tamanho,Arvore,Operacao,Tempo
10000,Rubro-Negra,Inserção,0.0038797
10000,Rubro-Negra,Busca,0.000118
10000,Rubro-Negra,Remoção,0.0033527
50000,Rubro-Negra,Inserção,0.0246159
50000,Rubro-Negra,Busca,0.0005719
50000,Rubro-Negra,Remoção,0.022547
100000,Rubro-Negra,Inserção,0.043774
100000,Rubro-Negra,Busca,0.0009016
100000,Rubro-Negra,Remoção,0.0389145
250000,Rubro-Negra,Inserção,0.121286
250000,Rubro-Negra,Busca,0.002194
250000,Rubro-Negra,Remoção,0.114402
500000,Rubro-Negra,Inserção,0.298474
500000,Rubro-Negra,Busca,0.0048896
500000,Rubro-Negra,Remoção,0.293949
1000000,Rubro-Negra,Inserção,0.705424
1000000,Rubro-Negra,Busca,0.0092809
1000000,Rubro-Negra,Remoção,0.755465
