Tamanho,Arvore,Operacao,Tempo
10000,Rubro-Negra,Inserção,0.001731723
10000,Rubro-Negra,Busca,0.001097687
10000,Rubro-Negra,Remoção,0.0017498776666666667
50000,Rubro-Negra,Inserção,0.009784481666666666
50000,Rubro-Negra,Busca,0.006083384666666667
50000,Rubro-Negra,Remoção,0.008345931666666667
100000,Rubro-Negra,Inserção,0.018436483666666666
100000,Rubro-Negra,Busca,0.014309954
100000,Rubro-Negra,Remoção,0.016638967
250000,Rubro-Negra,Inserção,0.07777170233333335
250000,Rubro-Negra,Busca,0.046731739333333334
250000,Rubro-Negra,Remoção,0.049883260333333325
500000,Rubro-Negra,Inserção,0.15417226433333334
500000,Rubro-Negra,Busca,0.09641708266666667
500000,Rubro-Negra,Remoção,0.09392067733333333
1000000,Rubro-Negra,Inserção,0.3478873456666667
1000000,Rubro-Negra,Busca,0.19766642199999998
1000000,Rubro-Negra,Remoção,0.18531612099999997
