Tamanho,Arvore,Operacao,Tempo
10000,RedBlackTree,Insercao,0.017066
10000,RedBlackTree,Busca,0.008998
10000,RedBlackTree,Remocao,0.011936
50000,RedBlackTree,Insercao,0.096001
50000,RedBlackTree,Busca,0.071000
50000,RedBlackTree,Remocao,0.082999
100000,RedBlackTree,Insercao,0.239347
100000,RedBlackTree,Busca,0.157793
100000,RedBlackTree,Remocao,0.173005
250000,RedBlackTree,Insercao,1.390296
250000,RedBlackTree,Busca,0.786334
250000,RedBlackTree,Remocao,0.935669
500000,RedBlackTree,Insercao,2.367333
500000,RedBlackTree,Busca,1.367460
500000,RedBlackTree,Remocao,1.543979
1000000,RedBlackTree,Insercao,5.730882
1000000,RedBlackTree,Busca,3.274976
1000000,RedBlackTree,Remocao,3.825320
