Tamanho,Arvore,Operacao,Tempo
10000,Splay,Inserção,0.0084312
10000,Splay,Busca,0.0081058
10000,Splay,Remoção,0.0078379
50000,Splay,Inserção,0.0565992
50000,Splay,Busca,0.054111
50000,Splay,Remoção,0.0514223
100000,Splay,Inserção,0.121625
100000,Splay,Busca,0.106062
100000,Splay,Remoção,0.0912874
250000,Splay,Inserção,0.277628
250000,Splay,Busca,0.277411
250000,Splay,Remoção,0.268525
500000,Splay,Inserção,0.616954
500000,Splay,Busca,0.658651
500000,Splay,Remoção,0.619098
1000000,Splay,Inserção,1.44829
1000000,Splay,Busca,1.56951
1000000,Splay,Remoção,1.47381
