Tamanho,Arvore,Operacao,Tempo
10000,Splay,Inserção,0.0131091
10000,Splay,Busca,0.0120664
10000,Splay,Remoção,0.0095177
50000,Splay,Inserção,0.0468745
50000,Splay,Busca,0.0430303
50000,Splay,Remoção,0.0348417
100000,Splay,Inserção,0.1067859
100000,Splay,Busca,0.1039904
100000,Splay,Remoção,0.0967463
250000,Splay,Inserção,0.3011638
250000,Splay,Busca,0.2913096
250000,Splay,Remoção,0.2949478
500000,Splay,Inserção,0.6409541
500000,Splay,Busca,0.764183
500000,Splay,Remoção,0.7281304
1000000,Splay,Inserção,1.5624943
1000000,Splay,Busca,1.8657194
1000000,Splay,Remoção,1.6097196
