Tamanho,Arvore,Operacao,Tempo
10000,Splay,Inserção,0.068183
10000,Splay,Busca,0.054079
10000,Splay,Remoção,0.057152
50000,Splay,Inserção,0.357616
50000,Splay,Busca,0.280844
50000,Splay,Remoção,0.342370
100000,Splay,Inserção,0.763418
100000,Splay,Busca,0.704979
100000,Splay,Remoção,0.745704
250000,Splay,Inserção,2.372200
250000,Splay,Busca,1.966866
250000,Splay,Remoção,2.474724
500000,Splay,Inserção,5.954646
500000,Splay,Busca,4.217310
500000,Splay,Remoção,5.069751
1000000,Splay,Inserção,13.535279
1000000,Splay,Busca,9.431964
1000000,Splay,Remoção,11.734814
