Tamanho,Arvore,Operacao,Tempo
10000,AVL,Inserção,0.0062142
10000,AVL,Busca,0.0014003
10000,AVL,Remoção,0.0039875
50000,AVL,Inserção,0.0353628
50000,AVL,Busca,0.0080432
50000,AVL,Remoção,0.0236925
100000,AVL,Inserção,0.0740344
100000,AVL,Busca,0.0151626
100000,AVL,Remoção,0.0423697
250000,AVL,Inserção,0.198871
250000,AVL,Busca,0.0448558
250000,AVL,Remoção,0.126834
500000,AVL,Inserção,0.353003
500000,AVL,Busca,0.0865717
500000,AVL,Remoção,0.249541
1000000,AVL,Inserção,0.736263
1000000,AVL,Busca,0.183726
1000000,AVL,Remoção,0.527084
