Tamanho,Arvore,Operacao,Tempo
10000,AVL,Inserção,0.006846
10000,AVL,Busca,0.0021863
10000,AVL,Remoção,0.0043994
50000,AVL,Inserção,0.0101069
50000,AVL,Busca,0.004749
50000,AVL,Remoção,0.0102135
100000,AVL,Inserção,0.0189963
100000,AVL,Busca,0.0117154
100000,AVL,Remoção,0.0131689
250000,AVL,Inserção,0.0447117
250000,AVL,Busca,0.0269211
250000,AVL,Remoção,0.0249541
500000,AVL,Inserção,0.0889748
500000,AVL,Busca,0.0519181
500000,AVL,Remoção,0.0523208
1000000,AVL,Inserção,0.1891346
1000000,AVL,Busca,0.1045207
1000000,AVL,Remoção,0.1075628
