Tamanho,Arvore,Operacao,Tempo
10000,AVL,Inserção,0.13940191268920898
10000,AVL,Busca,0.017134666442871094
10000,AVL,Remoção,0.08776330947875977
50000,AVL,Inserção,0.7523033618927002
50000,AVL,Busca,0.10052943229675293
50000,AVL,Remoção,0.5394344329833984
100000,AVL,Inserção,1.680643081665039
100000,AVL,Busca,0.20349383354187012
100000,AVL,Remoção,1.0915093421936035
250000,AVL,Inserção,4.519577980041504
250000,AVL,Busca,0.5588395595550537
250000,AVL,Remoção,2.9936141967773438
500000,AVL,Inserção,9.680863380432129
500000,AVL,Busca,1.1989963054656982
500000,AVL,Remoção,6.449352741241455
1000000,AVL,Inserção,20.564858198165894
1000000,AVL,Busca,2.481398582458496
1000000,AVL,Remoção,13.29923391342163
