Tamanho,Arvore,Operacao,Tempo
1000,Binaria,Inserção,0.0058912
1000,Binaria,Busca,0.0037279
1000,Binaria,Remoção,6.48e-05
5000,Binaria,Inserção,0.168272
5000,Binaria,Busca,0.108138
5000,Binaria,Remoção,0.0003581
10000,Binaria,Inserção,0.617286
10000,Binaria,Busca,0.406505
10000,Binaria,Remoção,0.0005417
25000,Binaria,Inserção,4.01495
25000,Binaria,Busca,2.66012
25000,Binaria,Remoção,0.0015701
50000,Binaria,Inserção,16.1895
50000,Binaria,Busca,10.6685
50000,Binaria,Remoção,0.0029298
100000,Binaria,Inserção,66.5012
100000,Binaria,Busca,42.5862
100000,Binaria,Remoção,0.0062406
