Tamanho,Arvore,Operacao,Tempo
1000,Binaria,Inserção,0.0092723
1000,Binaria,Busca,0.0039681
1000,Binaria,Remoção,1.934E-4
5000,Binaria,Inserção,0.1057192
5000,Binaria,Busca,0.0555586
5000,Binaria,Remoção,2.605E-4
10000,Binaria,Inserção,0.4218682
10000,Binaria,Busca,0.2399917
10000,Binaria,Remoção,3.554E-4
25000,Binaria,Inserção,2.6710163
25000,Binaria,Busca,1.548573
25000,Binaria,Remoção,5.899E-4
50000,Binaria,Inserção,10.7726681
50000,Binaria,Busca,6.376852
50000,Binaria,Remoção,2.725E-4
100000,Binaria,Inserção,44.9023415
100000,Binaria,Busca,25.7474682
100000,Binaria,Remoção,4.242E-4
