Tamanho,Arvore,Operação,Tempo
1000,Binaria,Inserção,0.048056
1000,Binaria,Busca,0.049942
1000,Binaria,Remoção,0.054000
5000,Binaria,Inserção,1.288411
5000,Binaria,Busca,1.356569
5000,Binaria,Remoção,1.455998
10000,Binaria,Inserção,5.242213
10000,Binaria,Busca,5.812672
10000,Binaria,Remoção,5.968142
25000,Binaria,Inserção,33.561296
25000,Binaria,Busca,35.567473
25000,Binaria,Remoção,38.185374
50000,Binaria,Inserção,138.258371
50000,Binaria,Busca,146.963162
50000,Binaria,Remoção,156.640534
100000,Binaria,Inserção,586.611285
100000,Binaria,Busca,618.537223
100000,Binaria,Remoção,658.629269
