Tamanho,Arvore,Operacao,Tempo
10000,Rubro-Negra,Inserção,0.003048
10000,Rubro-Negra,Busca,0.0001149
10000,Rubro-Negra,Remoção,0.0016352
50000,Rubro-Negra,Inserção,0.0170696
50000,Rubro-Negra,Busca,0.0005702
50000,Rubro-Negra,Remoção,0.0085749
100000,Rubro-Negra,Inserção,0.0345522
100000,Rubro-Negra,Busca,0.0011692
100000,Rubro-Negra,Remoção,0.0179149
250000,Rubro-Negra,Inserção,0.08649
250000,Rubro-Negra,Busca,0.0021882
250000,Rubro-Negra,Remoção,0.0378286
500000,Rubro-Negra,Inserção,0.178195
500000,Rubro-Negra,Busca,0.0043765
500000,Rubro-Negra,Remoção,0.08156
1000000,Rubro-Negra,Inserção,0.352538
1000000,Rubro-Negra,Busca,0.00942
1000000,Rubro-Negra,Remoção,0.168059
