Tamanho,Arvore,Operacao,Tempo
10000,Rubro-Negra,Inserção,0.002787517
10000,Rubro-Negra,Busca,0.001307551
10000,Rubro-Negra,Remoção,0.001677079
50000,Rubro-Negra,Inserção,0.006585724
50000,Rubro-Negra,Busca,0.002167345
50000,Rubro-Negra,Remoção,0.001963671
100000,Rubro-Negra,Inserção,0.012930712
100000,Rubro-Negra,Busca,0.004327336
100000,Rubro-Negra,Remoção,0.003292741
250000,Rubro-Negra,Inserção,0.031880705
250000,Rubro-Negra,Busca,0.010649721
250000,Rubro-Negra,Remoção,0.00885976
500000,Rubro-Negra,Inserção,0.064671177
500000,Rubro-Negra,Busca,0.021550577
500000,Rubro-Negra,Remoção,0.018677769
1000000,Rubro-Negra,Inserção,0.201068838
1000000,Rubro-Negra,Busca,0.043714362
1000000,Rubro-Negra,Remoção,0.038244908
