Tamanho,Arvore,Operacao,Tempo
10000,RedBlackTree,Inserção,0.063509
10000,RedBlackTree,Busca,0.000000
10000,RedBlackTree,Remoção,0.028241
50000,RedBlackTree,Inserção,0.344946
50000,RedBlackTree,Busca,0.000996
50000,RedBlackTree,Remoção,0.160928
100000,RedBlackTree,Inserção,0.687863
100000,RedBlackTree,Busca,0.001997
100000,RedBlackTree,Remoção,0.316196
250000,RedBlackTree,Inserção,2.151014
250000,RedBlackTree,Busca,0.004000
250000,RedBlackTree,Remoção,0.955071
500000,RedBlackTree,Inserção,4.494219
500000,RedBlackTree,Busca,0.009112
500000,RedBlackTree,Remoção,1.782958
1000000,RedBlackTree,Inserção,9.702121
1000000,RedBlackTree,Busca,0.023974
1000000,RedBlackTree,Remoção,3.443346
