Tamanho,Arvore,Operacao,Tempo
10000,Splay,Inserção,0.001386
10000,Splay,Busca,0.0021469
10000,Splay,Remoção,0.0019978
50000,Splay,Inserção,0.0065854
50000,Splay,Busca,0.0107304
50000,Splay,Remoção,0.0105112
100000,Splay,Inserção,0.0138652
100000,Splay,Busca,0.0224493
100000,Splay,Remoção,0.0228178
250000,Splay,Inserção,0.0342255
250000,Splay,Busca,0.0549492
250000,Splay,Remoção,0.0449057
500000,Splay,Inserção,0.0616602
500000,Splay,Busca,0.104225
500000,Splay,Remoção,0.103858
1000000,Splay,Inserção,0.158196
1000000,Splay,Busca,0.293811
1000000,Splay,Remoção,0.240671
