Tamanho,Arvore,Operacao,Tempo
10000,Splay,Inserção,0.010946
10000,Splay,Busca,0.021157
10000,Splay,Remoção,0.015611
50000,Splay,Inserção,0.044194
50000,Splay,Busca,0.102202
50000,Splay,Remoção,0.077372
100000,Splay,Inserção,0.091635
100000,Splay,Busca,0.194870
100000,Splay,Remoção,0.137395
250000,Splay,Inserção,0.231749
250000,Splay,Busca,0.535423
250000,Splay,Remoção,0.375750
500000,Splay,Inserção,0.528441
500000,Splay,Busca,0.912634
500000,Splay,Remoção,0.779483
1000000,Splay,Inserção,1.185655
1000000,Splay,Busca,1.946077
1000000,Splay,Remoção,1.513800
